id,height_cm,shoulder_width,bust,waist,hip,shoulder_to_hip_ratio,waist_to_hip_ratio,bust_to_hip_ratio,body_shape,body_subtype,recommended_fits,avoid_fits,top_recommendations,bottom_recommendations,dress_recommendations,necklines,sleeves,fabrics,patterns,accessories,outerwear,footwear
1,169.0,46.4,107.7,104.6,110.8,1.05,0.94,0.97,Rectangle,Lean Rectangle,"Layered, Voluminous, Belted shapes","Vertical stripes, Straight-cut shift dresses, Square necklines","Sweetheart necklines, Peplum tops, Ruched blouses, Layered knits","Cargo pants, Pleated skirts, Jeans with back pockets, A-line skirts","Ruched dresses, Belted shifts, Tiered dresses","Sweetheart, Cowl, Crew with detail, Round","Cuffed, Ruched, Flounced, Frilled","Textured fabrics, Linen, Tweed, Lace, Organza","Circles, Swirls, Horizontal stripes, Geometric prints","Wide belts, Layered bracelets, Round eyewear","Peplum jackets, Belted trench, Short bombers","Rounded toes, Embellished flats, Boots with detail"
2,174.1,34.4,87.6,66.5,100.6,0.86,0.66,0.87,Pear,Soft Pear,"A-line, Structured tops, Fit-and-flare","Tight bottoms, Low-rise pants, Mini skirts with volume","Boat necks, Off-the-shoulder tops, Cowl necks, Ruffled blouses","A-line skirts, Wide-leg trousers, Straight-leg jeans","Empire waist dresses, A-line silhouettes, X-line dresses","Boat neck, Bardot, Square, Wide V-neck","Puff sleeves, Flutter sleeves, Embellished shoulders, Bell sleeves","Cotton, Linen on top; Flowy rayon, Matte jersey on bottom","Horizontal stripes on top, Dark solids on bottom, Large prints on top","Statement necklaces, Scarves, Shoulder bags","Jackets with shoulder pads, Cropped cardigans, A-line coats","Block heels, Platform shoes, Nude-toned flats"
3,173.0,35.8,94.8,85.5,87.7,1.02,0.98,1.08,Apple,Fuller Midsection,"Empire waist, Straight lines, Flowy silhouettes","Waist belts, High-rise restrictive trousers, Double-breasted jackets","Empire tops, Flowy tunics, V-neck sweaters, Long cardigans","Leggings, Short skirts, Straight-leg trousers, Slim-fit jeans","Empire waist dresses, Swing dresses, Shift dresses","Deep V, Empire, Square, Low Scoop","Three-quarter length, Slit sleeves, Flared cuffs","Matte silk, Soft linen, Wool blends, Matte jersey","Vertical lines, Small-scale prints, Monochrome looks","Long earrings, Long necklaces, Tote bags","Long open cardigans, Straight-cut coats, Single-breasted blazers","Pointed-toe shoes, Nude heels, Slim-fit boots"
4,178.8,36.2,88.5,69.2,86.4,1.05,0.8,1.02,Rectangle,Straight Column,"Layered, Voluminous, Belted shapes","Vertical stripes, Straight-cut shift dresses, Square necklines","Sweetheart necklines, Peplum tops, Ruched blouses, Layered knits","Cargo pants, Pleated skirts, Jeans with back pockets, A-line skirts","Ruched dresses, Belted shifts, Tiered dresses","Sweetheart, Cowl, Crew with detail, Round","Cuffed, Ruched, Flounced, Frilled","Textured fabrics, Linen, Tweed, Lace, Organza","Circles, Swirls, Horizontal stripes, Geometric prints","Wide belts, Layered bracelets, Round eyewear","Peplum jackets, Belted trench, Short bombers","Rounded toes, Embellished flats, Boots with detail"
5,168.2,40.0,97.6,67.7,85.7,1.17,0.79,1.14,Inverted Triangle,Top-heavy Triangle,"V-line, Volume on bottom, Unstructured tops","Shoulder pads, Boat necks, Halter necks with wide straps","Deep V-necks, Halter tops, Simple wrap tops, Raglan sleeves","Full skirts, Cargo pants, Wide-leg jeans, Palazzo pants","Halters, Full-skirted dresses, A-line shifts","Deep V, Narrow Scoop, U-neck, Halter","Raglan, Kimono (low volume), Dolman, Sleeveless","Soft knits on top; Structured denim, Corduroy on bottom","Vertical stripes on top, Bold prints on bottom, Diagonal lines","Hip belts, Long necklaces, Crossbody bags (resting at hip)","A-line coats, Unstructured blazers, Duster cardigans","Bright shoes, Chunky sneakers, Ankle-strap heels"
6,164.0,30.7,70.2,62.6,85.5,0.9,0.73,0.82,Pear,Bottom-heavy Pear,"A-line, Structured tops, Fit-and-flare","Tight bottoms, Low-rise pants, Mini skirts with volume","Boat necks, Off-the-shoulder tops, Cowl necks, Ruffled blouses","A-line skirts, Wide-leg trousers, Straight-leg jeans","Empire waist dresses, A-line silhouettes, X-line dresses","Boat neck, Bardot, Square, Wide V-neck","Puff sleeves, Flutter sleeves, Embellished shoulders, Bell sleeves","Cotton, Linen on top; Flowy rayon, Matte jersey on bottom","Horizontal stripes on top, Dark solids on bottom, Large prints on top","Statement necklaces, Scarves, Shoulder bags","Jackets with shoulder pads, Cropped cardigans, A-line coats","Block heels, Platform shoes, Nude-toned flats"
7,182.7,41.1,107.0,106.8,103.0,1.0,1.04,1.04,Apple,Fuller Midsection,"Empire waist, Straight lines, Flowy silhouettes","Waist belts, High-rise restrictive trousers, Double-breasted jackets","Empire tops, Flowy tunics, V-neck sweaters, Long cardigans","Leggings, Short skirts, Straight-leg trousers, Slim-fit jeans","Empire waist dresses, Swing dresses, Shift dresses","Deep V, Empire, Square, Low Scoop","Three-quarter length, Slit sleeves, Flared cuffs","Matte silk, Soft linen, Wool blends, Matte jersey","Vertical lines, Small-scale prints, Monochrome looks","Long earrings, Long necklaces, Tote bags","Long open cardigans, Straight-cut coats, Single-breasted blazers","Pointed-toe shoes, Nude heels, Slim-fit boots"
8,184.4,38.0,111.6,88.3,98.4,0.97,0.9,1.13,Apple,Fuller Midsection,"Empire waist, Straight lines, Flowy silhouettes","Waist belts, High-rise restrictive trousers, Double-breasted jackets","Empire tops, Flowy tunics, V-neck sweaters, Long cardigans","Leggings, Short skirts, Straight-leg trousers, Slim-fit jeans","Empire waist dresses, Swing dresses, Shift dresses","Deep V, Empire, Square, Low Scoop","Three-quarter length, Slit sleeves, Flared cuffs","Matte silk, Soft linen, Wool blends, Matte jersey","Vertical lines, Small-scale prints, Monochrome looks","Long earrings, Long necklaces, Tote bags","Long open cardigans, Straight-cut coats, Single-breasted blazers","Pointed-toe shoes, Nude heels, Slim-fit boots"
9,170.9,46.9,113.0,79.5,99.1,1.18,0.8,1.14,Inverted Triangle,Athletic Inverted Triangle,"V-line, Volume on bottom, Unstructured tops","Shoulder pads, Boat necks, Halter necks with wide straps","Deep V-necks, Halter tops, Simple wrap tops, Raglan sleeves","Full skirts, Cargo pants, Wide-leg jeans, Palazzo pants","Halters, Full-skirted dresses, A-line shifts","Deep V, Narrow Scoop, U-neck, Halter","Raglan, Kimono (low volume), Dolman, Sleeveless","Soft knits on top; Structured denim, Corduroy on bottom","Vertical stripes on top, Bold prints on bottom, Diagonal lines","Hip belts, Long necklaces, Crossbody bags (resting at hip)","A-line coats, Unstructured blazers, Duster cardigans","Bright shoes, Chunky sneakers, Ankle-strap heels"
10,164.8,42.6,93.7,72.5,87.9,1.21,0.82,1.07,Inverted Triangle,Top-heavy Triangle,"V-line, Volume on bottom, Unstructured tops","Shoulder pads, Boat necks, Halter necks with wide straps","Deep V-necks, Halter tops, Simple wrap tops, Raglan sleeves","Full skirts, Cargo pants, Wide-leg jeans, Palazzo pants","Halters, Full-skirted dresses, A-line shifts","Deep V, Narrow Scoop, U-neck, Halter","Raglan, Kimono (low volume), Dolman, Sleeveless","Soft knits on top; Structured denim, Corduroy on bottom","Vertical stripes on top, Bold prints on bottom, Diagonal lines","Hip belts, Long necklaces, Crossbody bags (resting at hip)","A-line coats, Unstructured blazers, Duster cardigans","Bright shoes, Chunky sneakers, Ankle-strap heels"
