id,skin_r_forehead,skin_g_forehead,skin_b_forehead,skin_r_cheek,skin_g_cheek,skin_b_cheek,skin_r_jaw,skin_g_jaw,skin_b_jaw,skin_lab_l,skin_lab_a,skin_lab_b,undertone,skin_depth,tan_level,hair_r,hair_g,hair_b,eye_r,eye_g,eye_b,contrast_score,chroma_score,value_score,season,subseason,primary_colors,secondary_colors,neutral_colors,accent_colors,avoid_colors_strict,avoid_colors_soft
1,188,152,134,197,145,126,178,137,125,60,21,7,cool,medium,none,61,64,32,30,3,0,0.407,0.22,0.605,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
2,169,211,139,170,205,128,148,194,127,65,-22,36,cool,medium,heavy,19,12,72,26,37,46,0.559,0.282,0.651,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
3,185,145,158,185,139,151,163,131,150,61,18,-8,warm,deep,mild,27,23,52,11,44,23,0.487,0.141,0.614,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
4,232,199,132,239,189,125,223,183,119,71,20,29,neutral,light,mild,96,61,68,58,45,28,0.442,0.388,0.716,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
5,173,172,123,175,166,112,151,155,105,58,0,24,neutral,medium,mild,51,89,55,59,60,20,0.342,0.192,0.586,Autumn,soft_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
6,169,205,107,172,199,95,147,184,93,60,-18,49,neutral,light,heavy,110,38,78,18,25,1,0.387,0.388,0.603,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
7,199,142,112,208,135,102,183,128,97,57,31,14,warm,deep,heavy,109,15,30,43,60,42,0.381,0.357,0.575,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
8,246,166,155,248,157,149,231,149,140,71,40,1,warm,medium,mild,62,3,24,33,5,33,0.607,0.329,0.718,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
9,168,201,107,175,193,99,158,178,97,60,-14,44,warm,light,heavy,91,84,0,49,14,7,0.381,0.349,0.604,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
10,226,192,185,232,191,173,207,177,167,77,15,6,neutral,light,none,25,3,8,16,54,19,0.728,0.173,0.773,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
11,245,165,133,250,163,119,232,148,110,68,38,19,warm,light,none,13,75,5,10,42,0,0.614,0.455,0.689,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
